,issue_id,issue_comments,issue_desc,created_at,closed_at
56,WELD-1474,"It would appear that a bean that implements Extension is not serializable when injected. If an Extension is injected you should get the Contextual Reference for it. In turn the serializable proxy.

Currently it would appear that it is getting injected direction without a 

http://pastebin.com/DFJEFCQP",,,
70,WELD-997,NoData,,,
88,WELD-1672,"The following code does not work in Wildfly 8.1.0 CR. I'm getting exception: javax.persistence.TransactionRequiredException. I looks like the Weld issue as the stack trace does not contain Transactional interceptor invocation.

@Transactional
public static class Parent<E> {
    protected EntityManager em;

    public void create(E entity) {
        em.persist(entity);
    }
}

@Transactional
public static class Child extends Parent<EndEntity> {
    @Override
    public void create(EndEntity entity)
    {
        super.create(entity);
    }
}

then I invoking create() method in submitEntity():

public class EndEntityController {
    @Inject
    private Child child;

    private Parent<EndEntity> parent()
    {
        return child;
    }

    protected void submitEntity(EndEntity entity) {
        EndEntity endEntity = new EndEntity();
        parent().create(endEntity);
    }
}

When the Parent class is not generic then the code above works.
",,,
94,WELD-1710,"{{TomcatContainer}} use {{org.apache.tomcat.InstanceManager}} class to detect that container is Apache Tomcat but current Jetty (at least 9.2.2) contains this class in classpath (in jsp-engine {{lib/apache-jsp/org.mortbay.jasper.apache-jsp-8.0.3.v20140313.jar}}) so Jetty is false detected as Tomcat which leads to {{java.lang.NoClassDefFoundError: org/apache/catalina/core/ApplicationContextFacade}} later.

To avoid this error {{TomcatContainer}} should use less generic class (e. g. {{org.apache.catalina.connector.Request}} or something similar).",,,
100,WELD-1698,"I'm using EntityRepositories from DeltaSpike Data in WildFly. On every startup, my server log is flooded with warnings of the following kind:

{noformat}
 WELD-001117: Member (org.apache.deltaspike.core.util.metadata.builder.AnnotatedMethodImpl@48c67fe1) 
does not belong to the actual class hierarchy of the annotatedType 
(org.apache.deltaspike.core.util.metadata.builder.AnnotatedTypeImpl@241940c4)
{noformat}

The warning is issued by {{AnnotatedTypeValidator.checkMembersBelongToHierarchy()}}, and the root cause is that the {{AnnotatedMember}} is a method from an interface of the {{AnnotatedType}} but not from a superclass.

(In fact, generating synthetic implementations for methods from interfaces or abstract classes is the main point of DeltaSpike Data.)

So I suggest that the hierarchy check should also consider all interfaces of the class and its superclasses.

Moreover, the usability of the warning message could be improved by printing the real member names, replacing {{AnnotatedMember.toString()}} by {{AnnotatedMember.getJavaMember().getName()}} etc.
",,,
104,WELD-1712,"All versions of weld-osgi-bundle I looked at export their own packages with version 1.0.0, regardless of the Weld release.

This would only make sense if the Weld public API were unchanged since Weld 1.x. Looking at the class lists, it is easy to see some differences, so the API did change.

The easiest fix would be to set the package version to the Weld release version. 

Semantic versioning would also be an option if it's possible to decide whether or not an API change was backward compatible. ",,,
106,WELD-1236,"{code}
...
Caused by: org.jboss.weld.interceptor.proxy.InterceptorException: Error while deserializing intercepted instance
	at org.jboss.weld.interceptor.builder.MethodReference$MethodHolderSerializationProxy.readResolve(MethodReference.java:138)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	...
	at java.io.ObjectInputStream.defaultReadObject(ObjectInputStream.java:524)
	at org.jboss.weld.interceptor.proxy.InterceptorMethodHandler.readObject(InterceptorMethodHandler.java:126)
	... 61 more
Caused by: java.lang.ClassNotFoundException: boolean
{code}",,,
115,WELD-1234,"When a stateful EJB is removed (as a result of one of its methods throwing an exception), the whole session scope is rendered useless, because the SessionBeanStore can never be attached again. When Weld tries to attach the bean store, a NoSuchEJBException is thrown as a result of invoking toString() on the EJB.

See the forum reference for more info.",,,
118,WELD-1145,"The following set of beans fail to deploy with 

{code}
public class Bar<X>
{
   public Bar(X x) {
      this.x = x;
   }
   
   public X x;
}
{code}

{code}
public class BarsProducer
{  
   private static Bar<Integer>[] bars = new Bar[]{new Bar<Integer>(new Integer(1))};
   
   @Produces
   public Bar<Integer>[] getBars() {
      return bars;
   }
}
{code}

{code}
public class Foo
{
   @Inject Bar<Integer>[] field;
}
{code}


{noformat}
14:23:47,915 ERROR [org.jboss.msc.service.fail] (MSC service thread 1-4) MSC000001: Failed to start service jboss.deployment.unit.""jboss-as-helloworld.war"".WeldService: org.jboss.msc.service.StartException in service jboss.deployment.unit.""jboss-as-helloworld.war"".WeldService: org.jboss.weld.exceptions.DeploymentException: WELD-001408 Unsatisfied dependencies for type [Bar[]] with qualifiers [@Default] at injection point [[field] @Inject org.jboss.as.quickstarts.helloworld.Foo.field]
        at org.jboss.as.weld.services.WeldService.start(WeldService.java:83)
        at org.jboss.msc.service.ServiceControllerImpl$StartTask.startService(ServiceControllerImpl.java:1811) [jboss-msc-1.0.2.GA-redhat-1.jar:1.0.2.GA-redhat-1]
        at org.jboss.msc.service.ServiceControllerImpl$StartTask.run(ServiceControllerImpl.java:1746) [jboss-msc-1.0.2.GA-redhat-1.jar:1.0.2.GA-redhat-1]
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110) [rt.jar:1.7.0]
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603) [rt.jar:1.7.0]
        at java.lang.Thread.run(Thread.java:722) [rt.jar:1.7.0]
Caused by: org.jboss.weld.exceptions.DeploymentException: WELD-001408 Unsatisfied dependencies for type [Bar[]] with qualifiers [@Default] at injection point [[field] @Inject org.jboss.as.quickstarts.helloworld.Foo.field]
        at org.jboss.weld.bootstrap.Validator.validateInjectionPoint(Validator.java:311)
        at org.jboss.weld.bootstrap.Validator.validateInjectionPoint(Validator.java:280)
        at org.jboss.weld.bootstrap.Validator.validateBean(Validator.java:143)
        at org.jboss.weld.bootstrap.Validator.validateRIBean(Validator.java:163)
        at org.jboss.weld.bootstrap.Validator.validateBeans(Validator.java:382)
        at org.jboss.weld.bootstrap.Validator.validateDeployment(Validator.java:367)
        at org.jboss.weld.bootstrap.WeldBootstrap.validateBeans(WeldBootstrap.java:380)
        at org.jboss.as.weld.WeldContainer.start(WeldContainer.java:83)
        at org.jboss.as.weld.services.WeldService.start(WeldService.java:76)
        ... 5 more
{noformat}


Also note that the src/test/java/org/jboss/weld/tests/arrays/ArrayInjectionTest.java will fail if @Inject is used to inject the arrays instead of the arquillian enrichment.",,,
120,WELD-935,"Shading = repackaging a dependency class inside your own jar (instead of depending on the jar of that class).

I've just spend quite some time trying to find such a classpath issue, which manifested it self as ""NoSuchMethodError on slf4j LocationAwareLogger.log(...)""
It turns out the weld-servlet jar was shading some of the slf4j classes.

Shading is evil. Here's why:
- It breaks maven/gradle/buildr/ivy dependency conflict resolution. If guvnor uses slf4j 1.6 and weld-servlet; and weld-servlet shades slf4J 1.5; maven will not detect a slf4j version conflict and will therefor have no chance to put only 1 version of slf4J in the classpath. As a result, there's no telling which slf4J version will be used (the first in the classpath, but that is very unstable)
- It distorts ANT's classpath: putting the weld-servlet jar (with slf4J 1.5) in your classpath can effectively turn the explicit slf4j-1.6.0.jar in your classpath into dead code or combine it with binary incompatibly slf4j extensions such as xstream-for-slf4j-1.6.0.jar (fictive example).
- Because the slf4j classes are actually in the weld-servlet jar, they cause bloat: the user might have already downloaded the real slf4j jar.
- Most importantly, because the (Red Hat and other) guys who create RPM's out of our jars say so. See slide 13 of this Fosdem presentation: http://sochotni.fedorapeople.org/fosdem2011-sochotnicky.pdf (video : http://ia600608.us.archive.org/16/items/fosdem_2011_free_java_guide_to_packaging_for_developers/20110205-fosdem11-guide_to_packaging.ogg)

Summary: shading will cause grief for your users. Why subject your users to grief? In this case, don't give them a good and a bad choice, only give them a good choice.",,,
132,WELD-1729,"In the following example with the bean of type {{Bean}} declared:

{code}
public class GetBeansExtension implements Extension {

    private <T> void processInjectionTarget(@Observes ProcessInjectionTarget<T> pit, BeanManager manager) {
    }

    private void afterBeanDiscovery(@Observes AfterBeanDiscovery abd, BeanManager manager) {
        manager.getBeans(Bean.class);
    }
}
{code}

The result of {{manager.getBeans(Bean.class)}} happens to be an empty list.

This happens for others lifecycle events like {{ProcessAnnotatedType}} but only when a {{BeanManager}} reference is injected in the observer method.",,,
136,WELD-1498,"Using Infinispan Cache via CDI cause ClassCastException

Setup
{code}
@Produces @ApplicationScoped
public EmbeddedCacheManager create() {
	return new DefaultCacheManager(...);
}

@Produces @ApplicationScoped
public Cache<String, Attachment> create(EmbeddedCacheManager manager) {
	return manager.getCache();
}
{code}

{code}
@Inject
private Cache<String, Attachment> cache;

public Attachment store(Attachment entity) {
    cache.getAdvancedCache().put(entity.getId(), entity);
    return entity;
}
{code}

cache.getAdvancedCache() cause ClassCastException

{code}
Caused by: java.lang.ClassCastException: org.jboss.weld.proxies.BasicCache$Cache$ConcurrentMap$Lifecycle$Listenable$Map$449205494$Proxy$_$$_WeldClientProxy cannot be cast to org.infinispan.AdvancedCache
at org.jboss.weld.proxies.BasicCache$Cache$ConcurrentMap$Lifecycle$Listenable$Map$449205494$Proxy$_$$_WeldClientProxy.getAdvancedCache(BasicCache$Cache$ConcurrentMap$Lifecycle$Listenable$Map$449205494$Proxy$_$$_WeldClientProxy.java) [weld-core-1.1.13.Final-redhat-1.jar:]
at org.cedj.geekseek.domain.attachment.AttachmentRepository.store(AttachmentRepository.java:32) [df4da6a4-e82c-403c-9815-03a170096317.jar:]
{code}

",,,
137,WELD-1623,"See also {{org.jboss.weld.context.AbstractConversationContext.deactivate()}}.

A user may send multiple parallel requests. In this case the cleanup may result in {{ConcurrentModificationException}} or some other inconsistencies.",,,
138,WELD-1492,"Weld does not report a definition error for the following producers:
{code}
@Produces Bar<Foo<?>> wildcardFooBarProducerField;
@Produces Bar<Foo<?>> produceWildcardFooBar() { ... }
@Produces @RequestScoped Bar<Foo<T>> typedFooBarProducerField;
@Produces @RequestScoped Bar<Foo<T>> produceTypedFooBar() { ... };
{code}

But it does report the error for simple(r) producers:
{code}
@Produces Foo<?> wildcardFooProducerField;
@Produces Foo<?> produceWildcardFoo() { ... }
@Produces @RequestScoped Foo<T> typedFooProducerField;
@Produces @RequestScoped Foo<T> produceTypedFoo() { ... };
{code}
",,,
